Case #,Incident Code,Reported,Case Status,Start Occurred,End Occurred,Building,Location,Stolen,Damaged,Description,,
12002442,LARCENY - FROM BUILDING,6/23/2012 10:41,Inactive,6/22/2012 22:00,6/23/2012 10:41,,"2200 State Fair Park (UNL SUPPORT FACILITY (office, service))",$50.00,$0.00,"Lincoln Horse Racing Commission reported a lock being cut off a door to the ""Milking Parlor"" and an item being removed.",,
12002447,TRAFFIC - SUSPENDED DRIVER,6/24/2012 2:42,Cleared by Arrest,6/24/2012 2:42,,,N 10TH ST & T ST (STREET),$0.00,$0.00,Non-student stopped for speeding. She was cited/released for Driving Under Suspension.,,
12002448,ALCOHOL - DWI,6/24/2012 2:56,Cleared by Arrest,6/24/2012 2:56,,,SALT CREEK RDWY & STADIUM DR (STREET),$0.00,$0.00,Ofc. conducted a traffic stop near Salt Creek Roadway and Stadium Drive. Driver was cited for no drivers license and DWI.,,
12002449,BURGLARY,6/24/2012 12:49,Inactive,6/24/2012 3:00,6/24/2012 11:00,Beta Theta Pi,1515 R St. (OFF CAMPUS/GREEK HOUSING),$900.00,$0.00,Ofc. was dispatched to the Beta Theta Fraternity in regards to a burglary.  Investigation continues.,,
12002451,LARCENY - STOLEN BIKE,6/24/2012 13:29,Inactive,6/23/2012 23:30,6/24/2012 13:00,2222 Vine Street,2222 Vine St. (SIDEWALK),$40.00,$5.00,UNL student reported their bike was Stolen from the racks on the east side of 2222 Vine Street.,,
12002455,TRAFFIC - SUSPENDED DRIVER,6/25/2012 0:04,Cleared by Arrest,6/25/2012 0:04,,,N 17TH ST & VINE ST (STREET),$0.00,$0.00,Traffic Stop.  Vehicle stopped for speeding 31 mph in a 25 mph zone.  Driver was found to be suspended with a license pickup order.  Cited/Released.,,
12002457,VANDALISM - OTHER,6/25/2012 12:05,Inactive,6/24/2012 18:30,6/25/2012 12:00,Alpha Gamma Rho,1430 Idylwild (STREET),$0.00,$200.00,UNL student reported the rear window of his vehicle was damaged by a rock.,,
12002459,VANDALISM - OTHER,6/25/2012 13:56,Inactive,6/8/2012 0:01,6/10/2012 11:00,Food Industry Complex,1625 Arbor Drive (UNL ACADEMIC BUILDING),$0.00,$0.00,Inventory destroyed by unknown person leaving freezer open.,,
12002478,ALCOHOL - DWI,6/27/2012 2:00,Cleared by Arrest,6/27/2012 2:00,,,N 19TH ST & VINE ST (STREET),$0.00,$0.00,Traffic Stop.  Vehicle stopped for violating a Stop Sign.  UNL student cited/Detox for DWI (.093 BrAC) and Stop Sign Violation.,,
12002481,ACCIDENTS - P.D. REPORTABLE,6/27/2012 9:15,Cleared by Exception,6/27/2012 9:15,,Animal Research Facility,2105 North 42nd St (GOVT PARKING LOT (UNL)),$0.00,$500.00,Ofc. dispatched to the parking lot east of the UNL Animal Research Facility regarding an accident in which a parked UNL trailer was hit by a UNL pickup. Minor damage.,,
12002482,SUSPICIOUS PERSON,6/27/2012 9:23,Inactive,6/27/2012 9:08,6/27/2012 9:17,Union-City,"1400 R St (UNL SUPPORT FACILITY (office, service))",$0.00,$0.00,Suspicious book buyback transaction.,,
12002483,MEDICAL EMERGENCY,6/27/2012 11:07,Inactive,6/27/2012 11:07,,Whittier Building,"2200 Vine St (UNL SUPPORT FACILITY (office, service))",$0.00,$0.00,Ofc. dispatched to the UNL Childcare Center on a 2 year old having a seizure.  Child and mother were transported to the hospital for further treatment.,,
12002484,DISTURBANCE - OTHER,6/27/2012 15:08,Inactive,6/27/2012 14:30,,,2430 U Street #1 (MULTI-DWELLING (3-6 UNITS) off campus),$0.00,$0.00,UNL student reported another UNL student caused a disturbance off campus.,,
12002485,DISTURBANCE - OTHER,6/27/2012 15:45,Cleared by Exception,6/27/2012 15:45,6/27/2012 15:45,, (INTERNET/CYBERSPACE),$0.00,$0.00,Person received disturbing e-mail.,,
12002489,TRAFFIC - SUSPENDED DRIVER,6/27/2012 22:20,Cleared by Arrest,6/27/2012 22:20,,,N 33RD ST & VINE ST (STREET),$0.00,$0.00,Non-student lodged in jail for Driving Under Suspension after she was stopped for no plates on her car.,,
12002499,LARCENY - STOLEN BIKE,6/28/2012 20:07,Inactive,6/28/2012 10:30,6/28/2012 15:00,2244 Vine Street,2244 Vine Street (UNL APARTMENT),$55.00,$0.00,Green Magma mountain bicycle secured with a cable stolen from the bicycle racks.,,
12002501,TRAFFIC - SUSPENDED DRIVER,6/28/2012 23:42,Cleared by Arrest,6/28/2012 23:42,,,N 17TH ST & VINE ST (STREET),$0.00,$0.00,Non-student stopped for speeding. He was cited/released for Driving Under Suspension.,,
12002502,TRAFFIC - SUSPENDED DRIVER,6/29/2012 1:00,Cleared by Arrest,6/29/2012 1:00,,,N 16TH ST & VINE ST (STREET),$0.00,$0.00,Non-student contacted on a traffic stop and lodged in jail for Driving Under Suspension.,,
12002503,SUSPICIOUS PERSON,6/29/2012 1:49,Cleared by Exception,6/29/2012 1:49,,Memorial Stadium,"740 Stadium Dr. (UNL SUPPORT FACILITY (office, service))",$0.00,$0.00,Four people contacted inside Memorial Stadium. All were escorted out.,,
12002504,TRAFFIC - SUSPENDED DRIVER,6/29/2012 4:29,Cleared by Arrest,6/29/2012 4:29,,,N 17TH ST & VINE ST (STREET),$0.00,$0.00,Non-student contacted on a traffic stop for speeding and lodged in jail for Driving Under Suspension.,,
12002505,TRESPASSING,6/29/2012 5:33,Cleared by Exception,6/29/2012 5:33,,Facilities Management Complex,"1901 Y St (UNL SUPPORT FACILITY (office, service))",$0.00,$0.00,Transient contacted sleeping near the front door. She was issued a UNL Trespass Policy Letter.,,
12002508,DISTURBANCE - OTHER,6/29/2012 11:15,Inactive,6/27/2012 10:00,,Lied Center,301 North 12th St (UNL ACADEMIC BUILDING),$0.00,$0.00,Ofc. investigated a complaint on a UNL staff member during the Thespian Festival. No criminal citation were issued and case is inactive.,,
12002509,DISTURBANCE - OTHER,6/29/2012 12:42,Inactive,6/11/2012 9:00,6/29/2012 12:42,College of Business Admin.,512 North 12th St (UNL ACADEMIC BUILDING),$0.00,$0.00,UNL graduate student reported a disturbance with one of their students.,,
12002512,LOST OR STOLEN ITEM,6/29/2012 14:58,Inactive,6/28/2012 14:15,6/28/2012 13:15,Burnett Hall,1220 T St (UNL ACADEMIC BUILDING),$199.99,$0.00,Smartphone was reported lost or stolen from a room in the basement.,,
12002517,TRESPASSING,6/29/2012 21:41,Cleared by Exception,6/29/2012 21:41,,Nebraska Union,"1400 R St (UNL SUPPORT FACILITY (office, service))",$0.00,$0.00,Two transients contacted in a student-only computer lab. One issued a ban and bar and the other a trespass policy letter.,,
12002521,MEDICAL EMERGENCY,6/30/2012 0:02,Cleared by Exception,6/30/2012 0:02,,Sheldon Memorial Art Gallery,"451 North 12th St (UNL SUPPORT FACILITY (office, service))",$0.00,$0.00,Transient transported to Bryan/LGH West after possibly having a seizure in a parking lot.,,
12002522,ALCOHOL - DWI,6/30/2012 0:31,Cleared by Arrest,6/30/2012 0:31,,,N 17TH ST & VINE ST (STREET),$0.00,$0.00,Non-student stopped for speeding. He was cited for DWI (.105 BAC) and taken to detox.,,
12002524,LOST OR STOLEN ITEM,6/30/2012 1:28,Inactive,6/29/2012 20:00,6/29/2012 21:00,Lied Center,"301 North 12th St (UNL SUPPORT FACILITY (office, service))",$57.00,$0.00,Wallet lost/stolen from the Lied Center.,,
12002523,LOST OR STOLEN ITEM,6/30/2012 1:28,Cleared by Exception,6/30/2012 0:10,6/30/2012 1:28,Nebraska Union,"1400 R St (UNL SUPPORT FACILITY (office, service))",$400.00,$0.00,iPhone lost/stolen from the City Union.,,
12002527,VANDALISM - OTHER,6/30/2012 1:31,Inactive,,,Nebraska Hall,900 North 16th St (UNL ACADEMIC BUILDING),$0.00,$200.00,Window pane near a door found to be cracked.,,
12002525,LITTERING,6/30/2012 2:12,Cleared by Arrest,6/30/2012 2:12,,Andersen Hall,200 Centennial Mall North (GOVT PARKING LOT (UNL)),$0.00,$0.00,Ofc. contacted a UNL student in the Andersen Hall parking lot for urinating in public. Party was cited and released.,,
12002526,ALCOHOL - DRUNK,6/30/2012 2:34,Cleared by Exception,6/30/2012 2:34,,,N 17TH ST & VINE ST (SIDEWALK),$0.00,$0.00,UNL student contacted and taken to detox (.232 BAC) where she was released to a sober friend.,,
12002532,LARCENY - FROM MOTOR VEHICLE,6/30/2012 12:41,Inactive,6/29/2012 10:30,6/30/2012 1:00,Andersen Hall,200 Centennial Mall North (GOVT PARKING LOT (UNL)),$80.00,$0.00,Wallet with contents and iPod Nano stolen from an unlocked vehicle.,,
12002534,LARCENY - MOTOR VEH. ACCESSORIES,6/30/2012 13:59,Inactive,6/25/2012 13:30,6/30/2012 13:59,,N 19TH ST & S ST (STREET),$10.00,$0.00,Stereo faceplate stolen from an unlocked vehicle while parked on the street.,,
12002538,"PROPERTY DAMAGE - UNINTENTIONAL,NON TRAFFIC",6/30/2012 21:32,Cleared by Exception,6/30/2012 21:32,,Hamilton Hall,639 North 12th St (UNL ACADEMIC BUILDING),$0.00,$0.00,Water leak in the building. Damage appears minimal.,,
12002542,LITTERING,7/1/2012 1:52,Cleared by Arrest,7/1/2012 1:52,,Andersen Hall,200 Centennial Mall North (GOVT PARKING LOT (UNL)),$0.00,$0.00,Non-student cited/released for Littering after he was observed urinating in the parking lot.,,
12002545,LARCENY - STOLEN BIKE,7/1/2012 9:48,Cleared by Exception,6/28/2012 18:30,6/29/2012 18:45,2224 U Street,2224 U St. (UNL APARTMENT),$59.00,$10.00,UNL student came to UNLPD to report their bike had been stolen from the bike racks on the east side of 2244 U St.,,
12002547,LARCENY - FROM MOTOR VEHICLE,7/1/2012 17:19,Inactive,6/30/2012 17:00,7/1/2012 19:00,2222 Vine Street,2222 Vine Street (GOVT PARKING LOT (UNL)),$19.20,$0.00,"Unkown persons siphoning gas from vehicle at 2222 Vine St Apartments, $19 loss.",,
12002548,LARCENY - STOLEN BIKE,7/2/2012 0:45,Cleared by Arrest,7/2/2012 0:45,,Memorial Stadium,"740 Stadium Dr. (UNL SUPPORT FACILITY (office, service))",$0.00,$0.00,Two juveniles were contacted for stealing a bicycle from a bike rack near north stadium.  They were referred for charges and turned over to parents.,,
12002549,ALCOHOL - DWI,7/2/2012 2:02,Cleared by Arrest,7/2/2012 2:02,,,N 17TH ST & VINE ST (STREET),$0.00,$0.00,Non UNL affiliated party was cited for speeding and DUI. (.104 BAC.),,
12002557,TRAFFIC - SUSPENDED DRIVER,7/2/2012 16:12,Cleared by Arrest,7/2/2012 16:12,,,N 16TH ST & Q ST (STREET),$0.00,$0.00,"Person stopped for expired registration, and found to be suspended.",,
12002559,ALCOHOL - DRUNK,7/3/2012 2:26,Cleared by Exception,7/3/2012 2:26,,,N 18TH ST & R ST (SIDEWALK),$0.00,$0.00,"UNL student was contacted at 18th and R streets and was unable to care for himself due to his intoxication level. Transported to detox, refused PBT.",,
12002562,VANDALISM - BY GRAFFITI,7/3/2012 7:03,Inactive,6/26/2012 17:00,7/3/2012 7:03,,N 38TH ST & HUNTINGTON AVE (SIDEWALK),$0.00,$50.00,Graffiti on sidewalk.  No suspects.,,
12002566,LARCENY - FROM BUILDING,7/3/2012 13:16,Inactive,7/3/2012 13:05,7/3/2012 13:15,Union-City,"1400 R St (UNL SUPPORT FACILITY (office, service))",$1.00,$0.00,"Person took change from a change at the Caffina Cafe in the city union, $1 loss.",,
12002567,DISTURBANCE - OTHER,7/3/2012 13:19,Inactive,7/3/2012 13:19,,Love Library South,"1248 R (UNL SUPPORT FACILITY (office, service))",$0.00,$0.00,Disturbance between staff and non-student. Investigation ongoing.,,
12002574,ALCOHOL - DWI,7/4/2012 0:47,Cleared by Arrest,7/4/2012 0:47,,,N 10TH ST & T ST (STREET),$0.00,$0.00,Ofc conducted a traffic stop near Stadium Drive and T Street.  Driver was cited for DWI and wrong way on a one way. Driver was released to Detox staff. BAC 0.188,,
12002576,VANDALISM - OTHER,7/4/2012 9:54,Inactive,,,Innovation Campus,"1800 State Fair Park Drive (UNL SUPPORT FACILITY (office, service))",$0.00,$25.00,Vandalism to window.  No suspects.,,
12002580,ASSAULT - DOMESTIC,7/5/2012 0:23,Cleared by Arrest,7/5/2012 0:23,,,S ST & N 23RD ST (SIDEWALK),$0.00,$0.00,Non-student cited for MIP-C (.171 BAC) and lodged in jail for 3rd Degree Domestic Assault after she assaulted her ex-boyfriend.,,
12002584,TRESPASSING,7/5/2012 2:34,Cleared by Arrest,7/5/2012 2:34,,Memorial Stadium,"740 Stadium Dr. (UNL SUPPORT FACILITY (office, service))",$0.00,$0.00,Two UNL students cited/released for trespassing after they were observed inside the stadium after hours.,,
12002596,TRAFFIC - SUSPENDED DRIVER,7/5/2012 22:39,Cleared by Arrest,7/5/2012 22:39,,,N 17TH ST & VINE ST (STREET),$0.00,$0.00,Non-student stopped for no plates and lodged in jail for Driving Under Suspension as well as an active LPD warrant.,,
12002598,MEDICAL EMERGENCY,7/5/2012 23:03,Cleared by Exception,7/5/2012 23:03,,,2404 N 14th St. #33 (GOVT LOT/FIELD (UNL)),$0.00,$0.00,Non-student transported to Bryan/LGH East after having breathing difficulties.,,
12002599,TRAFFIC - SUSPENDED DRIVER,7/6/2012 0:40,Cleared by Arrest,7/6/2012 0:40,,,N 17TH ST & VINE ST (STREET),$0.00,$0.00,Non-student stopped for speeding and cited/released for Driving Under Suspension.,,
12002601,ALCOHOL - DWI,7/6/2012 1:57,Cleared by Arrest,7/6/2012 1:57,,,N 10TH ST & T ST (STREET),$0.00,$0.00,Non-student stopped for speeding. He was taken to detox and cited for Second Offense DWI (.138 BAC).,,
12002602,DISTURBANCE - OTHER,7/6/2012 2:14,Inactive,,,,City of Lincoln (UNKNOWN),$0.00,$0.00,UNL student reported a disturbance that occurred off campus.,,
12002600,TRAFFIC - SUSPENDED DRIVER,7/6/2012 2:15,Cleared by Arrest,7/6/2012 2:15,,,N 17TH ST & VINE ST (STREET),$0.00,$0.00,Non-student stopped for speeding and cited/released for Driving Under Suspension.,,
12002606,MEDICAL EMERGENCY,7/6/2012 12:12,Cleared by Exception,7/6/2012 12:12,,Bob Devaney Sports Center,1600 Court St (SPORT FACILITIES),$0.00,$0.00,Conference attendee suffered chest pains and trouble breathing. Transported to hospital by LFR.,,
12002610,DISTURBANCE - OTHER,7/6/2012 14:33,Cleared by Exception,7/6/2012 14:33,7/6/2012 14:33,Nebraska Hall,900 North 16th St (UNL ACADEMIC BUILDING),$0.00,$0.00,Disagreement over the work performance of a UNL employee.,,
12002613,MEDICAL EMERGENCY,7/6/2012 21:15,Cleared by Exception,7/6/2012 21:15,,Campus Recreation Center,"841 North 14th Street (UNL SUPPORT FACILITY (office, service))",$0.00,$0.00,UNL student transported to Bryan/LGH West after possibly dislocating an elbow.,,
12002618,VANDALISM - OTHER,7/7/2012 1:51,Cleared by Arrest,7/7/2012 1:51,,Andersen Hall,200 Centennial Mall North (GOVT PARKING LOT (UNL)),$0.00,$0.00,Male observed letting air out of a vehicle tire.,,
12002617,ALCOHOL - DWI,7/7/2012 1:51,Cleared by Arrest,7/7/2012 1:51,,,N 17TH ST & VINE ST (STREET),$0.00,$0.00,"Non-student stopped for speeding, cited for DWI (.140 BAC) and taken to detox.",,
12002619,MEDICAL EMERGENCY,7/7/2012 3:43,Cleared by Exception,7/7/2012 3:43,,Alpha Chi Omega,716 N 16th (SIDEWALK),$0.00,$0.00,UNL student found passed out in a yard. She was transported to Bryan/LGH West for treatment (.217 BAC).,,
12002624,VANDALISM - OTHER,7/8/2012 4:57,Cleared by Arrest,7/8/2012 2:52,,Sheldon Memorial Art Gallery,"451 North 12th St (UNL SUPPORT FACILITY (office, service))",$0.00,$0.00,"Vehicle driven through Sheldon Sculpture Garden, damaging a sculpture and coming to rest in the fountain.",,
12002627,LARCENY - MOTOR VEH. ACCESSORIES,7/8/2012 17:12,Inactive,7/8/2012 15:30,7/8/2012 17:12,,2100 State Fair Park Road (GOVT PARKING LOT (UNL)),$2.00,$0.00,Non student reports the theft of both license plates from his vehicle.  Vehicle was parked south of the 4-h Building.,,
12002629,TRAFFIC - SUSPENDED DRIVER,7/8/2012 19:33,Cleared by Arrest,7/8/2012 19:33,,,Q ST & N 17TH ST (STREET),$0.00,$0.00,Traffic Stop.  Driver stopped for no plates or papers on motorcycle.  Driver cited/released for DUS/No Motorcycle License.,,
12002630,LARCENY - FROM BUILDING,7/8/2012 21:48,Inactive,7/8/2012 20:00,7/8/2012 21:30,Campus Recreation Center,"841 North 14th St (UNL SUPPORT FACILITY (office, service))",$221.00,$0.00,UNL student reports the theft of his wallet and cell phone from a locked temporary locker.,,
12002640,DISTURBANCE - OTHER,7/10/2012 16:09,Cleared by Exception,7/10/2012 16:09,,Food Industry Complex,1625 Arbor Dr (UNL ACADEMIC BUILDING),$0.00,$0.00,Person contacted on East Campus skateboarding and given trespass policy letters.,,
12002642,FIRE (WORKING) - NO ALARM,7/10/2012 17:59,Cleared by Exception,7/10/2012 17:59,,,9-Mile Prairie (GOVT LOT/FIELD (UNL)),$0.00,$0.00,"Fire at Nine Mile Prairie caused by lite fireworks, 1.5 acre burned.",,
12002650,MEDICAL EMERGENCY,7/11/2012 15:30,Cleared by Exception,7/11/2012 15:30,,Innovation Campus,1800 State Fair Park Drive (GOVT PARKING LOT (UNL)),$0.00,$0.00,Person taken to Bryan-west by LFR for possible heat related problems from the area of the 4H building on Innovation Campus.,,
12002660,VANDALISM - OTHER,7/12/2012 0:03,Inactive,7/11/2012 0:00,7/12/2012 0:03,Beadle Center,"1901 Vine St (UNL SUPPORT FACILITY (office, service))",$0.00,$0.00,Report of paper towels stuffed into a toilet in the restroom.,,
12002661,ALCOHOL - DWI,7/12/2012 0:31,Cleared by Arrest,7/12/2012 0:31,,,N 17TH ST & R ST (STREET),$0.00,$0.00,Traffic Stop.  Driver stopped for Speeding 36 in a 25 mph zone.  Cited/lodged for DWI(.092 BrAC)/DUS.  Cited for Speeding/Open Container.,,
12002664,ACCIDENTS - P.D. NOT REPORTABLE,7/12/2012 9:30,Inactive,7/12/2012 9:30,,,N 14TH ST & VINE ST (GOVT PARKING LOT (UNL)),$0.00,$100.00,Report of an accident on the east side of the stadium involving a parked car.,,
12002670,WEAPONS ﾖ OTHER,7/12/2012 22:16,Cleared by Arrest,7/12/2012 22:16,,Smith Hall,1120 North 14th St (GOVT LOT/FIELD (UNL)),$0.00,$0.00,Non-student contacted with a .45 caliber handgun in holster on University Property.  Cited/Released for Possession of a Firearm at a School.,,
12002673,TRAFFIC - SUSPENDED DRIVER,7/13/2012 2:29,Cleared by Arrest,7/13/2012 2:29,,,N 17TH ST & VINE ST (STREET),$0.00,$0.00,Non student contacted on a traffic stop for no plates on vehicle.  Lodged for DUS and cited for No Proof of Insurance,,
12002674,TRAFFIC - SUSPENDED DRIVER,7/13/2012 4:30,Cleared by Arrest,7/13/2012 4:30,,,ANTELOPE VALLEY PARKWAY & Q ST (STREET),$0.00,$0.00,Non Student contacted on traffic stop. Lodged for DUS.  Another non-student on the same stop was cited/released for Unlawful Acts (Driving),,
12002677,LOST OR STOLEN ITEM,7/13/2012 11:49,Cleared by Arrest,7/10/2012 10:30,7/10/2012 11:30,College of Business Admin.,512 North 12th St (SIDEWALK),$150.00,$0.00,Report of a misplaced black/white Coach wristlet wallet.,,
12002679,FRAUD - CREDIT CARDS/ATM/BANK CARD,7/13/2012 15:31,Inactive,6/18/2012 0:00,6/20/2012 23:59,Food Industry Complex,1625 Arbor Dr (INTERNET/CYBERSPACE),"$2,400.00",$0.00,UNL Online class was charged to a credit card and card holder requested a refund. Transaction was flagged as a fraudulent charge.  Investigation continues.,,
12002681,LITTERING,7/13/2012 21:42,Cleared by Arrest,7/13/2012 21:42,,Andersen Hall,200 Centennial Mall North (GOVT PARKING LOT (UNL)),$0.00,$0.00,UNL student cited/released for Littering by Urination.,,
12002685,ALCOHOL - DWI,7/14/2012 2:49,Cleared by Arrest,7/14/2012 2:49,,,N 17TH ST & VINE ST (STREET),$0.00,$0.00,Non student stopped for speeding.  Cited/released for Aggravated DUI (.179 BrAC) and Speeding.,,
12002684,ALCOHOL - DRUNK,7/14/2012 2:53,Cleared by Exception,7/14/2012 2:53,,,N 16TH ST & Q ST (SIDEWALK),$0.00,$0.00,Student contacted for intoxication.  Transported to Detox (.307 BrAC).,,
12002690,ASSAULT - DOMESTIC,7/14/2012 21:58,Cleared by Arrest,7/14/2012 21:45,,Robert E. Knoll Residence Center,440 N 17th Street (GOVT PARKING LOT (UNL)),$0.00,$150.00,Domestic assault between two non-students.  Also a vandalism and child abuse.  PR is still outstanding.,,
12002691,TRAFFIC - SUSPENDED DRIVER,7/14/2012 23:56,Cleared by Arrest,7/14/2012 23:56,,,N 10TH ST & T ST (STREET),$0.00,$0.00,Non student stopped for speeding.  Cited/released for DUS and Speeding.,,
12002695,LARCENY - SHOPLIFTING,7/15/2012 16:33,Cleared by Exception,7/15/2012 15:15,,Abel Hall,880 North 17th Street (UNL RESIDENCE HALL),$1.92,$0.00,"A juvenile male contacted for shoplifting two (2) liquid Nyquil capsules from The Abel/Sandoz C Store.  The PR agreed to return and pay for the stolen merchandise, no formal charges desired by RP at this time.",,
12002701,ALCOHOL - DWI,7/16/2012 2:27,Cleared by Arrest,7/16/2012 2:27,,,Q ST & N 14TH ST (STREET),$0.00,$0.00,Non-student stopped for driving the wrong way on a one way. Cited/detox for DWI (.105 BAC).,,
12002703,LARCENY - FROM BUILDING,7/16/2012 8:30,Inactive,7/16/2012 6:45,7/16/2012 7:48,Abel Hall,880 North 17th St (UNL RESIDENCE HALL),$105.00,$0.00,Cellular telephone and room access card stolen by unknown person(s) after both items were placed near the Abel Hall northwest exterior entrance and left unattended from approximately 0645 to 0748 hours.,,
12002704,SS - CHECK WELFARE OF PERSON,7/16/2012 10:19,Cleared by Exception,,,, (MULTI-DWELLING (3-6 UNITS) off campus),$0.00,$0.00,Check welfare conducted on a UNL student after she neglected to appear for a scheduled meeting and was not heard from.  Officer spoke with the student who reported she was fine and had misplaced her cellular telephone.,,
12002719,DISTURBANCE - OTHER,7/17/2012 9:11,Inactive,6/17/2012 0:00,7/17/2012 12:16,,"1800 State Fair Park Dr (UNL SUPPORT FACILITY (office, service))",$0.00,$0.00,Report of inappropriate text messages sent between a 50 year old male and 16 year old female.  Both parties involved interviewed, no criminal action taken at this time.,
12002715,LARCENY - STOLEN BIKE,7/17/2012 9:12,Inactive,7/16/2012 21:43,,The Courtyards,733 North  17th  St. (UNL RESIDENCE HALL),$210.00,$0.00,Secured bicycle (and cable lock) stolen from the bike racks located southwest of The Courtyards.  Two unidentified male juvenile suspects developed upon Vicon review.,,
12002717,LOST OR STOLEN ITEM,7/17/2012 10:04,Inactive,7/3/2012 7:00,7/17/2012 10:04,Union-City,"1400 R St (UNL SUPPORT FACILITY (office, service))",$0.00,$0.00,UNL Student reported the loss of his passport and U.S. Visa occurring approximately two weeks ago.,,
12002718,DISTURBANCE - OTHER,7/17/2012 11:04,Cleared by Exception,7/17/2012 10:04,,Union-City,"1400 R St (UNL SUPPORT FACILITY (office, service))",$0.00,$0.00,"Person reported to be behaving erratically near the City Union.  Party contacted, verbally warned and  transported to St. Thomas Aquinas Church where he was released.",,
12002272,LOST OR STOLEN ITEM,7/17/2012 14:05,Inactive,6/23/2012 7:00,7/16/2012 8:00,College of Business Admin.,512 North 12th St (UNL ACADEMIC BUILDING),$150.00,$0.00,Report of lost or stolen computer from CBA.,,
12002724,ACCIDENTS - P.D. H&R NOT REPORTABLE,7/17/2012 16:11,Cleared by Exception,7/17/2012 16:11,,College of Dentistry,3975 Potter St (GOVT PARKING LOT (UNL)),$0.00,$0.00,"Hit and run accident near Dental College, no damages sustained.  PR contacted and interviewed.  No criminal action taken at this time.",,
12002730,TRESPASSING,7/17/2012 23:01,Cleared by Exception,7/17/2012 23:01,,,4417 Fair Street (GOVT LOT/FIELD (UNL)),$0.00,$0.00,Seven transients contacted for camping on east campus. All were issued Trespass Policy Letters and ordered to vacate the area.,,
12002732,LARCENY - FROM COIN OPERATED MACH.,7/18/2012 8:02,Inactive,7/17/2012 8:00,7/18/2012 8:00,Harper Hall,1150 North 14th St (UNL RESIDENCE HALL),$3.00,$25.00,Report of a theft of money from a feminine product machine.,,
12002754,MEDICAL EMERGENCY,7/18/2012 15:15,Cleared by Exception,7/18/2012 15:15,,Alexander Building,"1410 Q St (UNL SUPPORT FACILITY (office, service))",$0.00,$0.00,"UNL staff member experiencing vision problems, feeling faint and dizzy.  Transported to St. Elizabeth's for further treatment and evaluation.",,
12002739,LARCENY - STOLEN BIKE,7/18/2012 21:52,Inactive,7/18/2012 17:30,7/18/2012 21:50,College of Business Admin.,512 North 12th St (UNL ACADEMIC BUILDING),$100.00,$5.00,UNL student reported his bike stolen from the racks on the north side.,,
12002740,MEDICAL EMERGENCY,7/18/2012 23:15,Cleared by Exception,7/18/2012 23:15,,Burnett Hall,1220 T St (UNL ACADEMIC BUILDING),$0.00,$0.00,Non-student transported to Bryan/LGH West after hyperventilating.,,
12002745,UNL POLICY VIOLATION -OTHER,7/19/2012 13:50,Cleared by Exception,,,Nebraska Hall,900 North 16th St (UNL ACADEMIC BUILDING),$0.00,$0.00,Report of a UNL owned computer with pornographic materials on hard drive.,,
12002747,MEDICAL EMERGENCY,7/19/2012 18:45,Cleared by Exception,7/19/2012 18:45,,Lied Center,"301 North 12th St (UNL SUPPORT FACILITY (office, service))",$0.00,$0.00,Report of a juvenile female having an asthma attack.  Transported to Bryan LGH West for further treatment and evaluation.,,
12002748,SUSPICIOUS PERSON,7/19/2012 23:14,Cleared by Arrest,7/19/2012 23:14,,Andersen Hall,200 Centennial Mall North (GOVT PARKING LOT (UNL)),$0.00,$0.00,Non student contacted during suspicious party call. Lodged for warrant and cited for Trespassing and False Information.,,
12002752,ALCOHOL - UNL POLICY VIOLATION,7/20/2012 9:20,Inactive,7/19/2012 8:45,,H.S.S. Food Service Bldg.,"1140 North 14th St. (UNL SUPPORT FACILITY (office, service))",$0.00,$0.00,Anonymous tip of alcohol being stored and consumed in an office. Tip is unsubstantiated at this time.,,
12002753,ALCOHOL - BUY/PROCURE FOR MINORS,7/20/2012 9:46,Inactive,5/29/2012 8:00,6/17/2012 23:59,, (UNKNOWN),$0.00,$0.00,Report of possible underage drinking at a UNL sponsored academic activity. Investigation ongoing.,,
12002755,MEDICAL EMERGENCY,7/20/2012 13:41,Cleared by Exception,7/20/2012 13:41,,2224 U Street,2224 U Street (UNL APARTMENT),$0.00,$0.00,"Five month old child having difficulty breathing.  Apparent negative reaction to medication, non life threatening.  Transported to Bryan LGH East for further evaluation.",,
12002759,ALCOHOL - DRUNK,7/21/2012 1:34,Cleared by Exception,7/21/2012 1:34,,,N 14TH ST & Salt Creek RDWY (SIDEWALK),$0.00,$0.00,Student contacted for intoxication.  Transported to Detox (.235 BrAC).,,
12002762,ALCOHOL - DWI,7/21/2012 2:33,Cleared by Arrest,7/21/2012 2:33,,,N 10TH ST & T ST (STREET),$0.00,$0.00,"Non student stopped for speeding. Cited/released for DUI (.124 BrAC), False Info, MIPC and Speeding.",,
12002761,FIRE - FALSE ALARM,7/21/2012 3:08,Inactive,7/21/2012 3:08,,Selleck Quad,600 North 15th St (UNL RESIDENCE HALL),$0.00,$0.00,Fire alarm pull station activated. No suspects.,,
12002765,TRAFFIC - OTHER,7/21/2012 18:42,Cleared by Arrest,7/21/2012 18:42,,,Y ST & N 19TH ST (STREET),$0.00,$0.00,Traffic Stop.  Driver stopped for speeding 34 mph in a 25 mph zone.  Non student cited/released for Speeding/Fictitious Plates/No Valid Registration/No License on Person.,,
